Rok produkcji,Przebieg,Pojemność skokowa,Moc,Spalanie W Mieście,Cena,Oferta od_Firmy,Oferta od_Osoby prywatnej,Rodzaj paliwa_Benzyna,Rodzaj paliwa_Diesel,Skrzynia biegów_Automatyczna,Skrzynia biegów_Manualna,Kraj pochodzenia_Inne,Kraj pochodzenia_Niemcy,Kraj pochodzenia_Polska,Zarejestrowany w Polsce_Nie,Zarejestrowany w Polsce_Tak
2010,292752,1598.0,105.0,5.0,19800,0,1,0,1,0,1,0,0,1,0,1
2016,113000,1968.0,150.0,5.0,69500,0,1,0,1,1,0,0,0,1,0,1
2012,162000,1598.0,105.0,5.9,38400,1,0,0,1,0,1,0,1,0,0,1
2001,248113,1896.0,90.0,6.0,8900,1,0,0,1,0,1,0,1,0,1,0
2016,203977,1598.0,110.0,4.6,44500,0,1,0,1,0,1,0,0,1,0,1
2001,198000,1984.0,115.0,6.164663461538455,9900,1,0,1,0,1,0,0,1,0,1,0
2019,26799,1498.0,150.0,6.928000000000002,98900,1,0,1,0,1,0,0,0,1,0,1
2012,201000,1598.0,105.0,5.0,27000,0,1,0,1,0,1,1,0,0,0,1
1998,206000,1781.0,180.0,11.0,18900,0,1,1,0,0,1,0,1,0,0,1
2017,157300,1598.0,90.0,4.0,55900,1,0,0,1,0,1,0,0,1,0,1
2004,214245,1390.0,75.0,9.0,12900,0,1,1,0,0,1,1,0,0,0,1
2015,129458,1984.0,230.0,6.21623931623932,84900,1,0,1,0,1,0,0,0,1,0,1
2012,143577,1390.0,122.0,8.2,33600,1,0,1,0,0,1,0,1,0,0,1
2004,244363,1390.0,90.0,8.0,13900,1,0,1,0,0,1,0,1,0,1,0
2018,104980,1598.0,115.0,6.164663461538455,64900,1,0,0,1,0,1,0,0,1,0,1
2018,70981,999.0,110.0,7.190939597315435,59900,1,0,1,0,0,1,1,0,0,1,0
2009,245000,1390.0,160.0,8.0,21900,1,0,1,0,1,0,0,1,0,1,0
2013,234000,1968.0,150.0,5.0,49900,0,1,0,1,1,0,0,0,1,0,1
2004,200000,1390.0,75.0,9.0,15900,1,0,1,0,0,1,1,0,0,1,0
2020,58000,1498.0,150.0,6.928000000000002,122900,1,0,1,0,1,0,0,0,1,0,1
2006,243652,1390.0,90.0,8.0,12900,1,0,1,0,0,1,1,0,0,0,1
2009,170251,1390.0,80.0,8.0,27000,1,0,1,0,0,1,0,1,0,0,1
2013,300000,1968.0,140.0,5.4,38500,1,0,0,1,0,1,1,0,0,1,0
2009,216800,1968.0,110.0,6.4,20900,1,0,0,1,0,1,1,0,0,1,0
2014,224715,1598.0,110.0,4.5,44850,1,0,0,1,0,1,1,0,0,0,1
2003,368000,1968.0,140.0,6.0,11900,1,0,0,1,0,1,0,1,0,0,1
2015,239214,1598.0,110.0,4.0,38700,1,0,0,1,0,1,1,0,0,1,0
2013,126400,1395.0,122.0,6.0,46900,1,0,1,0,0,1,0,1,0,0,1
2003,220000,1390.0,75.0,9.0,9500,1,0,1,0,0,1,0,1,0,1,0
2006,279000,1896.0,105.0,6.0,18800,0,1,0,1,0,1,0,1,0,0,1
2018,70000,1984.0,245.0,8.0,106900,1,0,1,0,0,1,0,0,1,0,1
2019,140000,1598.0,115.0,6.164663461538455,44500,1,0,0,1,0,1,0,0,1,0,1
2018,226000,1598.0,115.0,6.164663461538455,51900,1,0,0,1,0,1,0,0,1,0,1
2019,91000,1598.0,115.0,6.164663461538455,48500,1,0,0,1,0,1,0,0,1,0,1
2013,229000,1968.0,150.0,5.0,37999,0,1,0,1,0,1,0,0,1,0,1
2014,115000,1197.0,105.0,6.0,42900,0,1,1,0,0,1,0,0,1,0,1
2017,53400,1395.0,125.0,6.0,75900,1,0,1,0,0,1,0,0,1,0,1
2011,273988,1598.0,105.0,5.0,25900,1,0,0,1,0,1,1,0,0,1,0
2009,190298,1968.0,110.0,6.0,29900,1,0,0,1,0,1,1,0,0,1,0
2002,228000,1595.0,102.0,11.0,9600,0,1,1,0,1,0,1,0,0,1,0
2010,160700,1390.0,122.0,7.190939597315435,29900,1,0,1,0,1,0,0,1,0,0,1
2009,228888,1968.0,140.0,5.0,27900,0,1,0,1,0,1,0,1,0,0,1
2014,179409,1968.0,184.0,5.0,73000,0,1,0,1,1,0,0,1,0,0,1
2008,200000,1896.0,90.0,6.164663461538455,17900,1,0,0,1,0,1,1,0,0,1,0
2017,144509,1395.0,149.0,7.190939597315435,69500,1,0,1,0,0,1,0,0,1,0,1
2014,236000,1968.0,150.0,5.0,49900,0,1,0,1,0,1,0,1,0,1,0
2023,10,1968.0,245.0,6.21623931623932,127800,1,0,1,0,1,0,0,0,1,1,0
2019,158458,1968.0,150.0,6.21623931623932,74900,1,0,0,1,1,0,0,1,0,0,1
2021,25040,1498.0,149.0,7.190939597315435,129900,1,0,1,0,1,0,0,0,1,0,1
2008,248000,1896.0,105.0,6.7,19900,1,0,0,1,0,1,1,0,0,1,0
2017,156000,1968.0,150.0,5.1,64900,1,0,0,1,1,0,1,0,0,0,1
2006,174500,1390.0,75.0,9.0,11500,1,0,1,0,0,1,0,1,0,1,0
2017,124291,1598.0,90.0,4.0,56900,1,0,0,1,0,1,0,0,1,0,1
2017,140310,1598.0,115.0,6.164663461538455,50900,1,0,0,1,0,1,1,0,0,0,1
2018,149578,999.0,110.0,6.0,45900,1,0,1,0,0,1,0,0,1,0,1
2018,174000,1598.0,115.0,4.0,63999,0,1,0,1,1,0,0,1,0,1,0
2014,111171,1395.0,140.0,7.190939597315435,59900,1,0,1,0,1,0,0,0,1,0,1
2009,171000,1595.0,102.0,6.164663461538455,22900,1,0,1,0,0,1,0,1,0,1,0
2020,41899,1498.0,130.0,7.190939597315435,95000,0,1,1,0,0,1,1,0,0,0,1
2016,76080,1395.0,150.0,6.0,71999,1,0,1,0,0,1,0,0,1,0,1
2012,197000,1197.0,105.0,5.9,27999,0,1,1,0,0,1,1,0,0,0,1
2022,16125,1498.0,150.0,6.928000000000002,119200,1,0,1,0,0,1,0,0,1,0,1
2016,121937,1395.0,125.0,7.190939597315435,58900,1,0,1,0,0,1,0,0,1,0,1
2017,109500,1395.0,125.0,6.0,67900,0,1,1,0,0,1,0,0,1,0,1
2013,222450,1598.0,105.0,4.6,35490,0,1,0,1,0,1,0,1,0,1,0
2017,103217,1395.0,125.0,7.190939597315435,79800,1,0,1,0,0,1,0,1,0,0,1
2017,180200,1598.0,110.0,6.164663461538455,46900,1,0,0,1,0,1,1,0,0,1,0
2021,32000,1968.0,200.0,6.21623931623932,189000,0,1,0,1,1,0,0,1,0,0,1
2003,148600,1598.0,105.0,6.164663461538455,12999,1,0,1,0,0,1,0,1,0,1,0
2012,84000,1197.0,105.0,6.0,32800,1,0,1,0,0,1,0,0,1,0,1
2018,119700,1498.0,150.0,6.928000000000002,82900,0,1,1,0,0,1,0,0,1,1,0
2018,65762,1598.0,115.0,6.164663461538455,64900,1,0,0,1,0,1,0,0,1,0,1
2018,67696,1598.0,115.0,6.164663461538455,64900,1,0,0,1,0,1,0,0,1,0,1
2018,146800,1598.0,115.0,6.164663461538455,51500,0,1,0,1,0,1,0,0,1,0,1
2002,330331,1896.0,101.0,6.164663461538455,7500,1,0,0,1,0,1,0,1,0,0,1
1999,346213,1390.0,75.0,7.190939597315435,3900,1,0,1,0,0,1,0,1,0,0,1
1998,167398,1390.0,75.0,7.190939597315435,6900,1,0,1,0,0,1,0,1,0,0,1
2009,151000,1390.0,80.0,7.190939597315435,28900,1,0,1,0,0,1,0,1,0,1,0
2019,105147,999.0,115.0,5.6,62900,1,0,1,0,0,1,0,0,1,0,1
2005,162000,1390.0,75.0,8.0,14200,0,1,1,0,0,1,0,1,0,1,0
2019,65941,1984.0,245.0,8.2,127900,1,0,1,0,1,0,1,0,0,0,1
2004,209000,1595.0,102.0,8.8,14500,1,0,1,0,1,0,1,0,0,0,1
2001,230000,1896.0,90.0,5.0,10300,0,1,0,1,0,1,0,1,0,1,0
2018,101061,1598.0,115.0,6.164663461538455,58700,1,0,0,1,0,1,0,0,1,1,0
2014,220113,1598.0,110.0,6.164663461538455,39900,1,0,0,1,0,1,0,0,1,0,1
2019,178320,1598.0,115.0,6.164663461538455,59900,1,0,0,1,0,1,0,0,1,1,0
2019,116740,1498.0,110.0,7.190939597315435,69900,1,0,1,0,0,1,0,0,1,1,0
2009,181000,1390.0,80.0,7.190939597315435,23900,1,0,1,0,0,1,0,1,0,1,0
2018,60145,1498.0,130.0,7.190939597315435,75200,1,0,1,0,0,1,0,0,1,0,1
2003,175000,1390.0,75.0,7.190939597315435,10700,0,1,1,0,0,1,0,1,0,0,1
2018,83396,1390.0,125.0,7.190939597315435,78900,1,0,1,0,0,1,1,0,0,1,0
